 vacas_prenadas_calcular2025-01-11 10:25:43,347 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:00:56,512 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2026-01-06 
2025-01-12 14:00:56,527 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2027-01-03 
2025-01-12 14:00:56,548 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-07 
2025-01-12 14:00:56,562 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-16 
2025-01-12 14:00:56,574 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-29 
2025-01-12 14:00:56,582 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-22 
2025-01-12 14:00:56,600 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-24 
2025-01-12 14:00:56,615 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-04 
2025-01-12 14:00:56,631 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-30 
2025-01-12 14:00:56,652 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-12-31 
2025-01-12 14:38:42,786 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2028-01-01 
2025-01-12 14:38:42,790 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2026-01-06 
2025-01-12 14:38:42,796 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2027-01-03 
2025-01-12 14:38:42,800 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-07 
2025-01-12 14:38:42,805 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-16 
2025-01-12 14:38:42,809 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-29 
2025-01-12 14:38:42,815 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-22 
2025-01-12 14:38:42,819 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-24 
2025-01-12 14:38:42,823 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-04 
2025-01-12 14:38:42,829 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-30 
2025-01-12 14:38:42,833 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-12-31 
2025-01-12 14:40:06,205 - Lib.funcion_IEP_por_raza - INFO - Funcion IEP_por_raza
2025-01-12 14:56:20,302 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2028-01-01 
2025-01-12 14:56:20,311 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2026-01-06 
2025-01-12 14:56:20,317 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2027-01-03 
2025-01-12 14:56:20,323 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-07 
2025-01-12 14:56:20,331 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-16 
2025-01-12 14:56:20,335 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-29 
2025-01-12 14:56:20,341 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-22 
2025-01-12 14:56:20,347 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-24 
2025-01-12 14:56:20,351 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-04 
2025-01-12 14:56:20,359 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-30 
2025-01-12 14:56:20,364 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-12-31 
2025-01-12 14:59:00,631 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,634 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,637 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,641 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,648 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,659 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,666 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,670 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,676 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,681 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,685 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,688 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,690 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,692 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,696 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,698 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,700 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,702 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,704 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,706 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,708 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,710 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,715 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,717 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,719 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,720 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,722 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,724 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,725 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,728 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,730 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,732 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,735 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,737 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,739 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,741 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,744 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,748 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,752 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,754 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,756 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,758 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,760 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,763 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,767 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,769 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,771 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,773 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,775 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,777 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,781 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,784 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,786 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,788 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,790 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,791 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,794 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,800 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,802 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,804 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,806 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,809 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,812 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,816 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,818 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,820 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,822 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,823 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,825 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,829 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,833 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,835 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,837 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,839 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,840 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,843 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,847 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,850 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,852 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,854 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,856 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,859 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,864 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,869 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,872 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,881 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,886 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,890 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,894 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,901 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,905 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,907 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,910 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,915 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,465 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,467 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,468 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,470 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,472 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,473 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,475 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,476 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,478 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,480 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,481 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,483 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,485 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,486 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,488 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,490 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,491 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,493 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,494 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,496 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,497 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,499 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,500 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,502 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,503 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,505 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,506 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
